time,pna,ea,wa,wp,eu,soi,esoi,nino12,nino34,nino4
140205.0,21.767334,-100.35974,-324.39746,-204.98438,-53.752563,-291.76562,163.90625,26.104921,25.866964,26.019888
140234.5,-1.90271,-82.43799,-213.70044,-204.76758,29.829712,303.92188,173.64062,26.887922,25.946728,26.263128
140265.0,13.596436,-100.37268,-137.30322,-132.38794,-34.46643,293.75,150.11719,27.262272,27.101334,27.159134
140295.5,18.354614,-134.77063,-140.33374,-200.48071,-25.847534,392.8828,219.01562,24.053982,27.41715,27.67651
140326.0,-14.822144,-92.8999,-187.31934,-209.23291,-37.710205,436.0078,273.70312,22.432278,27.434204,27.9613
140356.5,-48.64258,-171.71191,-151.3003,-181.65088,-54.727295,350.1172,238.35938,21.897156,26.764736,27.385471
140387.5,-56.054565,-100.92432,-177.72046,-182.18408,-39.978027,461.42188,229.02344,21.58811,25.909735,26.737919
140418.0,-17.120483,-96.753296,-193.17944,-226.06958,-48.152344,519.2578,211.28906,21.40881,25.463778,26.433508
140448.5,42.75354,-162.73376,-234.15039,-324.20508,-31.42273,357.70312,126.828125,22.510305,25.44778,26.380796
140479.0,49.62561,-150.21228,-223.39282,-301.0437,-56.463135,391.03125,263.71875,23.561989,25.456945,26.284294
140509.5,-30.390747,-147.54077,-324.83203,-277.9375,23.812012,302.28906,180.97656,23.610685,25.620054,26.171587
140540.5,43.230957,-51.338867,-314.41284,-196.6211,-13.885498,251.97656,212.52344,25.62892,25.63844,25.820515
140570.0,71.781006,-75.56995,-205.98853,-179.97754,22.130737,155.55469,147.96875,26.273367,25.689293,25.975939
140599.5,12.3203125,-70.84192,-208.00049,-253.03052,47.715088,197.69531,116.38281,27.026615,26.10202,26.823769
140630.0,15.306519,-81.90173,-179.27734,-210.01636,-96.07434,211.61719,169.42969,26.636877,26.881945,27.219187
140660.5,-11.79541,-75.36621,-160.31445,-229.55591,-55.960938,252.91406,142.96875,23.50175,27.009808,27.475765
140691.0,-9.956909,-90.17432,-197.20874,-160.61841,-61.37207,414.60938,401.78125,21.325983,26.64712,27.30378
140721.5,-17.48413,-127.2395,-171.88037,-144.86133,-80.154175,392.6797,391.17188,21.200691,25.720846,26.67511
140752.5,-26.464844,-109.88367,-178.34106,-148.18506,-71.166016,377.125,296.46094,21.01835,24.593933,25.80423
140783.0,-40.56421,-178.83508,-165.40771,-257.69727,-67.66821,470.5,197.42969,21.159561,24.114344,25.28708
140813.5,25.25293,-127.25256,-262.16406,-276.25854,-26.04004,304.27344,255.10938,21.657963,24.638504,25.776993
140844.0,70.39307,-116.97095,-255.13452,-289.73193,-18.16687,330.2422,208.92188,22.324602,25.042315,25.887672
140874.5,-29.614502,-92.41321,-294.98877,-307.53394,-75.90527,219.35938,101.25781,23.518536,25.358624,25.954441
140905.5,-78.38306,-154.10986,-359.3938,-232.6123,-24.61914,-82.109375,50.453125,26.126097,25.697914,26.006691
140935.0,45.2229,-132.43213,-206.30371,-164.34961,-3.9176025,161.60156,165.32031,26.535143,26.189148,26.384388
140964.5,-46.222534,-57.92273,-296.0017,-221.44849,-69.50427,30.53125,84.640625,26.803635,26.561285,26.839962
140995.0,5.8812256,-65.05957,-185.77905,-233.49536,87.16174,235.65625,100.078125,26.888441,27.296955,27.685732
141025.5,33.562744,-131.6709,-209.47607,-186.52783,46.90454,155.125,188.0625,23.324331,27.330917,27.80183
141056.0,22.226196,-72.06079,-204.66504,-183.34766,-21.434692,381.03125,333.10156,22.110443,26.572218,27.130117
141086.5,-16.98059,-87.18347,-177.44727,-126.61157,-7.057373,408.53125,306.45312,21.550789,25.46785,26.473057
141117.5,-13.410522,-125.49365,-174.68018,-151.93506,-24.403076,473.39062,378.28125,21.38175,24.700666,25.921873
141148.0,-2.569458,-149.47473,-167.83008,-177.61792,-17.793457,411.59375,255.75,21.141594,24.16788,25.077587
141178.5,6.678589,-109.29602,-256.69067,-314.76123,-35.71106,446.9297,208.64844,21.042171,23.97024,24.830685
141209.0,-33.789673,-215.28369,-264.17554,-325.75708,21.125244,441.95312,359.3203,22.19726,23.75984,24.641638
141239.5,-118.167725,-110.62793,-300.46387,-304.40234,-38.716675,303.89062,351.64062,23.789547,24.071632,24.59895
141270.5,-72.84253,-90.756714,-365.60815,-289.09888,-35.308716,118.65625,82.890625,25.004637,24.60012,25.07077
141300.0,-53.659546,-157.75708,-293.67456,-116.44263,-40.25305,204.08594,285.54688,26.365334,25.378588,25.58431
141329.5,-22.39856,-97.25903,-188.5459,-176.26123,-39.947266,148.0,184.39062,26.519884,25.25164,25.790014
141360.0,10.443848,-127.11389,-268.22266,-225.60791,-76.358154,356.76562,228.99219,26.666574,25.811277,26.044302
141390.5,15.3428955,-83.4303,-207.28467,-206.65283,20.69397,420.53906,268.53125,24.12005,26.264141,26.447327
141421.0,-11.832031,-111.38855,-152.1914,-171.98242,-78.15881,373.95312,325.0625,21.892735,26.395271,26.725939
141451.5,-25.276123,-105.605835,-186.1604,-92.84375,-47.81787,431.9375,336.2422,21.541748,26.182554,26.97201
141482.5,-30.69812,-122.267944,-147.24268,-161.1543,-79.52014,465.92188,355.40625,21.554218,25.418575,26.201742
141513.0,-43.86023,-141.80872,-221.59985,-243.16162,-70.36511,419.4922,249.61719,21.678825,25.064188,25.917095
141543.5,-10.5998535,-196.23022,-228.2627,-292.3994,-17.480103,406.9922,64.0625,22.057722,25.201633,26.012966
141574.0,22.534668,-166.35217,-310.396,-335.50317,-81.54578,289.82812,140.21875,23.533348,25.627247,26.50246
141604.5,19.4292,-65.72119,-245.23755,-299.52612,53.928345,222.52344,125.90625,24.537418,26.127846,26.838732
141635.5,-12.476074,-130.43445,-252.51318,-207.30542,1.4039307,194.59375,153.50781,25.576958,26.400164,26.993387
141665.0,59.71399,-41.74292,-244.39331,-200.95361,-24.522827,203.75,99.8125,26.699657,26.89585,27.270035
141694.5,-24.624146,-27.20166,-173.19727,-172.42773,46.378418,-68.27344,-96.72656,27.435951,27.061584,27.507246
141725.0,11.643799,-133.6781,-283.1328,-282.67944,-78.85571,429.52344,112.75,27.060698,27.72145,28.05083
141755.5,10.792358,-103.62109,-213.46045,-192.14185,-9.213379,403.5,87.859375,23.79907,28.284956,28.61638
141786.0,-23.773438,-129.86914,-191.55469,-180.25537,-10.5842285,488.33594,206.64844,23.318722,27.697092,28.214727
141816.5,-32.737793,-137.32532,-146.86108,-154.21143,-35.972656,406.09375,198.38281,23.18866,26.892353,27.761782
141847.5,-20.326538,-99.651,-201.94043,-172.29028,-27.283813,454.5547,178.82031,22.77961,26.086786,26.977821
141878.0,-34.803833,-161.69458,-214.45654,-209.64062,-100.28381,410.34375,155.20312,22.299032,25.914532,26.748232
141908.5,-39.38257,-154.9762,-255.57617,-325.66528,-12.73645,461.48438,-26.453125,22.716482,25.72019,26.757828
141939.0,11.108032,-125.90979,-176.56738,-338.73682,-54.38977,505.2578,268.07812,23.937616,26.146923,27.103188
141969.5,9.666138,-126.885864,-345.3872,-318.66992,-36.694702,292.625,152.76562,24.682356,26.326845,26.658895
142000.5,51.856445,-216.02954,-399.86963,-201.35254,-18.516602,365.72656,131.03906,26.17427,26.394209,26.506926
142030.0,77.852905,-147.95447,-237.08911,-182.05664,22.490967,154.85156,62.726562,26.873732,26.344242,26.690353
142059.5,19.666138,-106.95984,-271.40186,-243.14038,79.53027,318.96094,60.117188,27.545908,26.007145,26.690245
142090.0,-3.485962,-93.66162,-283.02002,-204.9065,18.588623,354.54688,177.53125,27.069252,26.650972,27.076706
142120.5,7.3900146,-72.39502,-227.00928,-191.37476,12.0946045,218.6875,178.29688,24.311434,26.9582,27.648022
142151.0,3.9685059,-151.5835,-161.55542,-191.75171,-54.50403,239.67969,332.8047,21.187822,26.358475,27.303183
142181.5,-36.874634,-116.474,-183.42822,-170.0249,-89.96753,389.89062,416.34375,20.510233,25.40575,26.55183
142212.5,-30.585205,-120.538574,-158.44897,-145.36865,-34.725098,424.3672,380.5625,21.33738,24.551327,25.790245
142243.0,9.891113,-104.638306,-177.79443,-194.31543,-23.691772,442.77344,274.29688,20.35479,23.769053,24.808233
142273.5,-26.15857,-104.63489,-213.56152,-256.8933,-66.397705,408.0547,228.42969,21.195995,23.599958,24.41198
142304.0,26.527222,-151.88965,-262.74976,-320.8247,-31.893555,396.0547,399.2578,21.847395,23.963795,24.83315
142334.5,-29.412842,-123.79736,-328.74902,-356.20386,-13.710205,287.125,188.36719,22.46904,23.950083,24.534117
142365.5,38.885742,-39.913574,-198.38965,-176.51807,29.639404,284.95312,222.90625,24.1332,23.922411,24.49294
142395.0,2.8879395,-123.65564,-309.4851,-196.39258,-27.372925,43.226562,191.1875,26.141417,24.671206,24.822243
142424.5,48.664795,-79.74414,-200.69629,-224.75732,65.34302,283.54688,307.10938,26.852245,25.365482,25.624863
142455.0,31.642578,-78.642456,-165.99902,-202.03125,20.895142,163.21094,220.11719,24.61808,26.065022,26.230577
142485.5,16.62732,-131.7273,-131.24365,-205.13281,-28.06604,183.04688,373.4922,22.526222,25.578905,25.953432
142516.0,5.6781006,-91.086426,-198.61035,-141.55493,-43.427612,196.28906,390.8047,21.759628,25.333717,25.977055
142546.5,-30.341553,-129.11694,-169.34058,-96.1521,-43.47754,471.625,515.2656,21.13781,24.953346,25.759533
142577.5,-24.79602,-115.60144,-146.44043,-75.02832,-4.4536133,520.5625,455.53906,20.480604,24.157902,24.92649
142608.0,-54.36035,-140.35364,-172.64404,-185.94482,-59.88501,567.41406,435.9922,20.749529,23.21611,24.097645
142638.5,-21.311401,-151.97058,-195.93848,-303.73218,-141.01025,388.85938,363.4297,20.603361,22.99843,23.877655
142669.0,-10.795288,-42.933716,-245.41797,-343.1831,-32.37915,363.03125,351.67188,21.880817,22.808622,23.671131
142699.5,23.661133,-207.02148,-302.61646,-206.32959,2.6160889,195.45312,424.78125,22.994026,22.897562,23.816906
142730.5,11.918823,25.755127,-246.14453,-248.67578,106.93982,268.0625,412.29688,24.484858,23.581606,23.92534
142760.0,-25.313232,-77.09009,-258.21338,-247.4104,37.695435,99.64844,245.57031,26.178104,24.497818,24.54892
142789.5,-65.83545,-128.07886,-224.32422,-271.0874,45.6604,275.1953,266.3203,26.250458,24.840227,25.310398
142820.0,53.176636,-41.375366,-173.02441,-269.28418,55.18701,219.88281,233.21094,26.221418,25.944983,26.227947
142850.5,23.107788,-88.31152,-155.54663,-224.54834,-59.645996,92.33594,200.82031,24.314798,26.39274,26.74882
142881.0,19.776611,-131.70752,-189.71777,-138.45581,-62.941406,311.3203,296.6328,23.359585,26.14542,26.643492
142911.5,-26.458252,-137.48047,-160.15283,-195.29688,-56.043213,441.53906,312.57812,22.405605,25.73192,26.327963
142942.5,-21.408691,-109.82837,-169.49902,-186.59082,-20.23169,375.5,302.52344,22.48273,25.155905,25.792364
142973.0,-9.69519,-198.34729,-205.73364,-210.70093,-69.17578,479.54688,242.67969,22.513248,24.811338,25.653378
143003.5,1.8031006,-49.824707,-222.00342,-263.71338,-4.316284,363.34375,155.66406,22.870403,24.990953,25.742798
143034.0,32.226562,-128.00818,-202.31274,-303.65796,-27.653809,371.53906,166.16406,23.557781,25.31078,25.96845
143064.5,51.513184,-112.95569,-234.04297,-232.80225,-52.679443,267.47656,125.27344,24.417164,25.781124,26.301277
143095.5,18.491333,-47.90686,-226.99316,-197.61426,34.002197,349.02344,75.42969,25.91919,26.364895,26.62786
143125.0,-2.3912354,-158.2085,-358.59985,-197.56519,-43.353638,-19.054688,75.82031,26.43156,26.66778,27.110456
143154.5,19.78955,-185.21155,-260.1433,-177.15088,30.375977,304.51562,158.01562,26.87304,26.808897,27.16229
143185.0,0.9017334,-102.403076,-235.60962,-224.74658,-69.07507,145.59375,114.453125,27.184608,27.04112,27.21755
